ID,datetime,province,new_cases,cumulative_cases,type,reference
1,2020-03-17T00:00:00Z,KPK,1,16,INFECTED,https://www.dawn.com/news/1541678
2,2020-03-17T00:00:00Z,Punjab,18,26,INFECTED,https://www.dawn.com/news/1541669
3,2020-03-17T00:00:00Z,Balochistan,6,16,INFECTED,https://www.dawn.com/news/1541671
4,2020-03-10T00:00:00Z,Sindh,2,14,INFECTED,https://www.dawn.com/news/1539843
5,2020-02-26T00:00:00Z,,1,1,INFECTED,https://www.dawn.com/news/1536792
6,2020-03-15T00:00:00Z,Sindh,4,21,INFECTED,https://www.dawn.com/news/1541117
7,2020-03-15T00:00:00Z,Balochistan,2,10,INFECTED,https://www.dawn.com/news/1540895
8,2020-03-09T00:00:00Z,Sindh,1,12,INFECTED,https://www.dawn.com/news/1539433/seventh-case-of-coronavirus-detected-in-pakistan
9,2020-03-18T00:00:00Z,Sindh,8,180,INFECTED,https://www.dawn.com/news/1541925
10,2020-03-18T00:00:00Z,KPK,1,17,INFECTED,https://www.dawn.com/news/1541906
11,2020-03-05T00:00:00Z,Sindh,1,3,INFECTED,https://www.dawn.com/news/1538653
12,2020-03-14T00:00:00Z,Sindh,1,16,INFECTED,https://www.dawn.com/news/1540879
13,2020-02-26T00:00:00Z,Sindh,1,1,INFECTED,https://www.dawn.com/news/1536792
14,2020-03-09T00:00:00Z,Sindh,7,10,INFECTED,https://www.dawn.com/news/1539603
15,2020-03-18T00:00:00Z,KPK,1,19,INFECTED,https://www.dawn.com/news/1541906
16,2020-03-11T00:00:00Z,,1,4,INFECTED,https://www.dawn.com/news/1540083
17,2020-03-15T00:00:00Z,Islamabad,1,2,INFECTED,https://www.dawn.com/news/1541104
18,2020-03-16T00:00:00Z,KPK,15,15,INFECTED,https://www.dawn.com/news/1541378
19,2020-03-09T00:00:00Z,Sindh,1,1,RECOVERED,https://www.dawn.com/news/1539608
20,2020-03-18T00:00:00Z,,10,15,INFECTED,https://www.dawn.com/news/1541931
21,2020-03-13T00:00:00Z,Balochistan,7,8,INFECTED,None
22,2020-03-09T00:00:00Z,Sindh,1,11,INFECTED,https://www.dawn.com/news/1539603
23,2020-03-18T00:00:00Z,Sindh,9,208,INFECTED,https://www.dawn.com/news/1541892
24,2020-03-14T00:00:00Z,Sindh,1,17,INFECTED,https://www.dawn.com/news/1540890
25,2020-03-15T00:00:00Z,Sindh,1,35,INFECTED,https://www.dawn.com/news/1541127
26,2020-03-03T00:00:00Z,,1,3,INFECTED,https://www.dawn.com/news/1537984
27,2020-03-16T00:00:00Z,Sindh,41,124,INFECTED,https://www.dawn.com/news/1541316
