SR  LOCATIONS,,BEDS
"",,
Islamabad,,
"",,
1. Hajji Camp,,300
"",,
2. Pak-China Friendship Centre,,50
"",,
Total,,350
"",,
Balochistan,,
"",,
"1. Turkish Colony, District Jaffarabad",,50
"",,
"2. Midwifery School, District Naseerabad",,50
"",,
3. DHQ Hospital Kachi,,50
"",,
"4. Boys Highschool Gandawah, District Jhal Magsi",,50
"",,
"5. Boys Highschool Digri, District Sohbatpur",,50
"",,
"6. Sheikh Khalif Bin Zayed Hospital, District Quetta",,56
"",,
"7. Gynae & General Private Hospital, District Quetta",,24
"",,
8. Customs House Taftan,,17
"",,
9. Taftan Quarantine,,"4,950"
"",,
10. PCSIR Laboratory Compound,,600
"",,
Total,,"5,897"
"",,
Khyber Pakhtunkhwa,,
"",,
"1. Landi Kotal, District Khyber",,102
"",,
"2. Darazinda, District Dera Ismail Khan",,200
"",,
3. Peshawar,,500
"",,
"4. Gomal Medical College, District Dera Ismail Khan",,200
"",,
"5. RHC Dassu, District Kohistan",,2
"",,
"6. RHC Shetyal, District Kohistan",,2
"",,
"7. GHSS Boys, District Mohmand",,20
"",,
"8. GHS Ekkaghund, District Mohmand",,30
"",,
"9. Hostel Bahai Daag AC Complex, District Mohmand",,20
"",,
"10. DHQ Hospital Nursing Hostel, District Bajaur",,30
"",,
"11. Type D Hospital Nawagai, District Bajaur",,30
"",,
"12. Type D Hospital Larkhalozo, District Bajaur",,60
"",,
"13. Post Graduate College, District Bajaur",,50
"",,
"14. Degree College Nawagai, District Bajaur",,50
"",,
"15. Degree College Barkhalozo, District Bajaur",,50
"",,
"16. Bachelor Hostel Daag Qilla, District Bajaur",,20
"",,
"17. BHU Dehrakai, District Bajaur",,10
"",,
"18. RHC Arang, District Bajaur",,10
"",,
"19. GHS Khar No-2, District Bajaur",,20
"",,
"20. Govt. Degree College Wari, District Dir Upper",,55
"",,
"21. Govt. Degree College, District Dir Upper",,35
"",,
"22. Govt. Technical College, District Nowshera",,50
"",,
"23. Govt. Post Graduate College, District Nowshera",,100
"",,
"24. GHSS Khairabad, District Nowshera",,20
"",,
"25. GHSS Taru Jabba/ UET Jalozai, District Nowshera",,483
"",,
"26. GHSS Rashakai, District Nowshera",,20
1.,"Landi Kotal, District Khyber",102
"",,
2.,"Darazinda, District Dera Ismail Khan",200
"",,
3.,Peshawar,500
"",,
4.,"Gomal Medical College, District Dera Ismail Khan",200
"",,
5.,"RHC Dassu, District Kohistan",2
"",,
6.,"RHC Shetyal, District Kohistan",2
"",,
7.,"GHSS Boys, District Mohmand",20
"",,
8.,"GHS Ekkaghund, District Mohmand",30
"",,
9.,"Hostel Bahai Daag AC Complex, District Mohmand",20
"",,
10.,"DHQ Hospital Nursing Hostel, District Bajaur",30
"",,
11.,"Type D Hospital Nawagai, District Bajaur",30
"",,
12.,"Type D Hospital Larkhalozo, District Bajaur",60
"",,
13.,"Post Graduate College, District Bajaur",50
"",,
14.,"Degree College Nawagai, District Bajaur",50
"",,
15.,"Degree College Barkhalozo, District Bajaur",50
"",,
16.,"Bachelor Hostel Daag Qilla, District Bajaur",20
"",,
17.,"BHU Dehrakai, District Bajaur",10
"",,
18.,"RHC Arang, District Bajaur",10
"",,
19.,"GHS Khar No-2, District Bajaur",20
"",,
20.,"Govt. Degree College Wari, District Dir Upper",55
"",,
21.,"Govt. Degree College, District Dir Upper",35
"",,
22.,"Govt. Technical College, District Nowshera",50
"",,
23.,"Govt. Post Graduate College, District Nowshera",100
"",,
