"",,,AJK,,
"",,,,,Designated
"",,,,Contact,for
District,Tehsil,HF Name,Address,,
"",,,,No,(HCW or
"",,,,,Citizen)
Muzaffarabad,Muzaffarabad,MVC AJK UNI city Campus,AJK uni city campus mzd,03229416064,Both
Muzaffarabad,Muzaffarabad,RHC Gari Duppata,TC Gari Duppata,03427908581,Both
Muzaffarabad,Naseera Abad,RHC Kahori,Kahori Tehsil Naseerabad,03485327311,Both
Neelum,Athmaqam,BHU Mirpura,Village Mirpura,0355-7608317,Both
Neelum,Sharda,BHU Dudniyal,Tehsil Sharda village Dudniyal,0355-7132094,Both
Neelum,Sharda,BHU Janawai,Tehsil Sharda village Janawai Taobut,0355-7605828,Both
Neelum,Sharda,RHC Sharda,Tehsil Sharda,0355-8119850,Both
Jhelum Valley,CHIKAR,RHC Chakar,Chakar Hattian,0342-1589692,Both
Jhelum Valley,HATTIAN BALA,RHC Chakhama,Chakhama Hattian,0355-6255958 Both,
Jhelum Valley,HATTIAN BALA,RHC Chinari,Chinari Hattian,0345 -5299489,Both
J h elum Valley,HATTIAN BALA,RHC Chakothi,Chakothi Hattian,0345-9070726,Both
Jhelum Valley,HATTIAN BALA,RHC Khalana,Khalana Hattian,0340-5602743 Both,
Jhelum Valley,HATTIAN BALA,RHC Lamnian,Lamnian Hattian,0316-0465990 Both,
Jhelum Valley,Leepa,RHC Leepa,Leepa,03556275441,Both
Bagh,Dheerkot,RHC Sesser,Sesser Thehsil Dhirkot,03215061753,Both
Bagh,Dheerkot,RHC Maloot,Maloot Tehsil Dheerkot,03431690146,Both
Bagh,Dheerkot,RHC Arja,Arja Tehsil Dheerkot,03460260783,Both
Bagh,Bagh,RHC Rerra,Rerra Tehsil Bagh,03455514767,Both
Bagh,Bagh,MVC DHQ Bagh,DHQ Bagh,03003649616,Both
Poonch,Abbaspur,THQ Abbaspur,Abbaspur Poonch,0343-8952195,Both
Poonch,Thorar,RHC Paniola,RHC Paniola near Paniola Bazar,0346-5320825,Both
Poonch,Thorar,BHU Thorar,BHU Thorar main bazar Thorar,0343-5469853,Both
Poonch,Rawalakot,BHU H/Q,District Complex Rawalakot,0345-5015444,Both
Poonch,Rawalakot,MVC BHQ HQ,G-Block Dist Complex,03455015444,Both
Sudhnoti,Tararkhal,THQ Tararkhal,Tehsil headquarter Pappynar Tararkahl Sudhnoti,03062721485,Both
Sudhnoti,Mong,RHC Mong,Tehsil Mong District Sudhnoti,03442000230,Both
Sudhnoti,Blouch,RHC Blouch,Tehsil Blouch District Sudhnoti,03471558090,Both
Mirpur,MIRPUR,RHC Pindi suberwal,Pindi suberwal Mirpur,0345-1880114,Both
Mirpur,MIRPUR,RHC Islamgarh,Opposite Boys Degree college Islamgarh Mirpur,0346-5133470,Both
Mirpur,MIRPUR,RHC Chakswari,Chakswari Bazar Mirpur,0346-8662049,Both
Mirpur,Dadyal,RHC Khadimabad,Anker Dadyal Mirpur,0300-5440316,Both
Mirpur,MIRPUR,MVC DHQ Mirpur,Allama Iqbal Road Mirpur,03485514900,Both
Bhimber,Bhimber,DHQ Sokasam,Sokasan Tehsil Bhimber,03475208233,Both
Bhimber,Bhimber,RHC Panjeeri,Panjeeri tehsil bhimber,03125258031,Both
Bhimber,Barnala,BHU Kotjamal,Main city Kotjamal Bhimber,03471508479,Both
Bhimber,Bhimber,DHO Office,Main city DHO office Bhimber,03495016121,Both
BALOCHISTAN,,,,,
