,id,_id,datetime,type,reference,description,extra
0,1,,2020-03-17T00:00:00Z,INFECTED,https://www.dawn.com/news/1541678,1 new case reported in KPK taking the tally to 16,
1,2,,2020-03-17T00:00:00Z,INFECTED,https://www.dawn.com/news/1541669,18 new cases reported in Punjab taking the tally to 26,
2,3,,2020-03-17T00:00:00Z,INFECTED,https://www.dawn.com/news/1541671,6 new cases reported in Balochistan taking the tally to 16,
3,4,,2020-03-10T00:00:00Z,INFECTED,https://www.dawn.com/news/1539843,2 new cases reported in Sindh taking the tally to 14,
4,5,,2020-02-26T00:00:00Z,INFECTED,https://www.dawn.com/news/1536792,1 new case reported in Gilgit Baltistan taking the tally to 1,
5,6,,2020-03-15T00:00:00Z,INFECTED,https://www.dawn.com/news/1541117,4 new cases reported in Sindh taking the tally to 21,
6,7,,2020-03-15T00:00:00Z,INFECTED,https://www.dawn.com/news/1540895,2 new cases reported in Balochistan taking the tally to 10,
7,8,,2020-03-09T00:00:00Z,INFECTED,https://www.dawn.com/news/1539433/seventh-case-of-coronavirus-detected-in-pakistan,1 new case reported in Sindh taking the tally to 12,
8,9,,2020-03-18T00:00:00Z,INFECTED,https://www.dawn.com/news/1541925,8 new cases reported in Sindh taking the tally to 180,
9,10,,2020-03-18T00:00:00Z,INFECTED,https://www.dawn.com/news/1541906,1 new case reported in KPK taking the tally to 17,
10,11,,2020-03-05T00:00:00Z,INFECTED,https://www.dawn.com/news/1538653,1 new case reported in Sindh taking the tally to 3,
11,12,,2020-03-14T00:00:00Z,INFECTED,https://www.dawn.com/news/1540879,1 new case reported in Sindh taking the tally to 16,
12,13,,2020-02-26T00:00:00Z,INFECTED,https://www.dawn.com/news/1536792,1 new case reported in Sindh taking the tally to 1,
13,14,,2020-03-09T00:00:00Z,INFECTED,https://www.dawn.com/news/1539603,7 new cases reported in Sindh taking the tally to 10,
14,15,,2020-03-18T00:00:00Z,INFECTED,https://www.dawn.com/news/1541906,1 new case reported in KPK taking the tally to 19,
15,16,,2020-03-11T00:00:00Z,INFECTED,https://www.dawn.com/news/1540083,1 new case reported in Gilgit Baltistan taking the tally to 4,
16,17,,2020-03-15T00:00:00Z,INFECTED,https://www.dawn.com/news/1541104,1 new case reported in Islamabad taking the tally to 2,
17,18,,2020-03-16T00:00:00Z,INFECTED,https://www.dawn.com/news/1541378,15 new cases reported in KPK taking the tally to 15,
18,19,,2020-03-09T00:00:00Z,RECOVERED,https://www.dawn.com/news/1539608,1 new recovery reported in Sindh taking the tally to 1,
19,20,,2020-03-18T00:00:00Z,INFECTED,https://www.dawn.com/news/1541931,10 new cases reported in Gilgit Baltistan taking the tally to 15,
20,21,,2020-03-13T00:00:00Z,INFECTED,,7 new cases reported in Balochistan taking the tally to 8,
21,22,,2020-03-09T00:00:00Z,INFECTED,https://www.dawn.com/news/1539603,1 new case reported in Sindh taking the tally to 11,
22,23,,2020-03-18T00:00:00Z,INFECTED,https://www.dawn.com/news/1541892,9 new cases reported in Sindh taking the tally to 208,
23,24,,2020-03-14T00:00:00Z,INFECTED,https://www.dawn.com/news/1540890,1 new case reported in Sindh taking the tally to 17,
24,25,,2020-03-15T00:00:00Z,INFECTED,https://www.dawn.com/news/1541127,1 new case reported in Sindh taking the tally to 35,
25,26,,2020-03-03T00:00:00Z,INFECTED,https://www.dawn.com/news/1537984,1 new case reported in Gilgit Baltistan taking the tally to 3,
26,27,,2020-03-16T00:00:00Z,INFECTED,https://www.dawn.com/news/1541316,41 new cases reported in Sindh taking the tally to 124,
27,28,,2020-03-18T00:00:00Z,INFECTED,https://www.dawn.com/news/1541940,7 new cases reported in Balochistan taking the tally to 23,
28,29,,2020-03-15T00:00:00Z,INFECTED,https://www.dawn.com/news/1541123,13 new cases reported in Sindh taking the tally to 34,
29,30,,2020-03-16T00:00:00Z,INFECTED,https://www.dawn.com/news/1541379,15 new cases reported in Sindh taking the tally to 150,
30,31,,2020-03-14T00:00:00Z,INFECTED,https://www.dawn.com/news/1540888,1 new case reported in Islamabad taking the tally to 1,
31,32,,2020-02-29T00:00:00Z,INFECTED,https://www.dawn.com/news/1537413/government-urges-calm-as-coronavirus-cases-in-pakistan-rise-to-4,1 new case reported in Sindh taking the tally to 2,
32,33,,2020-03-18T00:00:00Z,INFECTED,https://www.dawn.com/news/1541928,2 new cases reported in Punjab taking the tally to 28,
33,34,,2020-03-13T00:00:00Z,RECOVERED,https://www.dawn.com/news/1540571,1 new recovery reported in Sindh taking the tally to 3,
34,35,,2020-03-17T00:00:00Z,INFECTED,https://www.dawn.com/news/1541656,17 new cases reported in Sindh taking the tally to 172,
35,36,,2020-03-16T00:00:00Z,INFECTED,https://www.dawn.com/news/1541403,1 new case reported in Punjab taking the tally to 2,
36,37,,2020-03-17T00:00:00Z,INFECTED,https://www.dawn.com/news/1541613,5 new cases reported in Sindh taking the tally to 155,
37,38,,2020-03-18T00:00:00Z,INFECTED,https://www.dawn.com/news/1541935,19 new cases reported in Sindh taking the tally to 199,
38,39,,2020-03-11T00:00:00Z,INFECTED,https://www.dawn.com/news/1539943,1 new case reported in Balochistan taking the tally to 1,
39,40,,2020-03-16T00:00:00Z,INFECTED,https://www.dawn.com/news/1541395,47 new cases reported in Sindh taking the tally to 83,
40,41,,2020-03-17T00:00:00Z,INFECTED,https://www.dawn.com/news/1541618,6 new cases reported in Punjab taking the tally to 8,
41,42,,2020-03-16T00:00:00Z,INFECTED,https://www.dawn.com/news/1541367,11 new cases reported in Sindh taking the tally to 135,
42,43,,2020-02-29T00:00:00Z,INFECTED,https://www.dawn.com/news/1537413/government-urges-calm-as-coronavirus-cases-in-pakistan-rise-to-4,1 new case reported in Gilgit Baltistan taking the tally to 2,
43,44,,2020-03-18T00:00:00Z,INFECTED,https://www.dawn.com/news/1541904,1 new case reported in KPK taking the tally to 18,
44,45,,2020-03-15T00:00:00Z,INFECTED,https://www.dawn.com/news/1541122,1 new case reported in Punjab taking the tally to 1,
