,id,date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
0,1,2020-01-03,AF,Afghanistan,EMRO,0,0,0,0
1,2,2020-01-04,AF,Afghanistan,EMRO,0,0,0,0
2,3,2020-01-05,AF,Afghanistan,EMRO,0,0,0,0
3,4,2020-01-06,AF,Afghanistan,EMRO,0,0,0,0
4,5,2020-01-07,AF,Afghanistan,EMRO,0,0,0,0
5,6,2020-01-08,AF,Afghanistan,EMRO,0,0,0,0
6,7,2020-01-09,AF,Afghanistan,EMRO,0,0,0,0
7,8,2020-01-10,AF,Afghanistan,EMRO,0,0,0,0
8,9,2020-01-11,AF,Afghanistan,EMRO,0,0,0,0
9,10,2020-01-12,AF,Afghanistan,EMRO,0,0,0,0
10,11,2020-01-13,AF,Afghanistan,EMRO,0,0,0,0
11,12,2020-01-14,AF,Afghanistan,EMRO,0,0,0,0
12,13,2020-01-15,AF,Afghanistan,EMRO,0,0,0,0
13,14,2020-01-16,AF,Afghanistan,EMRO,0,0,0,0
14,15,2020-01-17,AF,Afghanistan,EMRO,0,0,0,0
15,16,2020-01-18,AF,Afghanistan,EMRO,0,0,0,0
16,17,2020-01-19,AF,Afghanistan,EMRO,0,0,0,0
17,18,2020-01-20,AF,Afghanistan,EMRO,0,0,0,0
18,19,2020-01-21,AF,Afghanistan,EMRO,0,0,0,0
19,20,2020-01-22,AF,Afghanistan,EMRO,0,0,0,0
20,21,2020-01-23,AF,Afghanistan,EMRO,0,0,0,0
21,22,2020-01-24,AF,Afghanistan,EMRO,0,0,0,0
22,23,2020-01-25,AF,Afghanistan,EMRO,0,0,0,0
23,24,2020-01-26,AF,Afghanistan,EMRO,0,0,0,0
24,25,2020-01-27,AF,Afghanistan,EMRO,0,0,0,0
25,26,2020-01-28,AF,Afghanistan,EMRO,0,0,0,0
26,27,2020-01-29,AF,Afghanistan,EMRO,0,0,0,0
27,28,2020-01-30,AF,Afghanistan,EMRO,0,0,0,0
28,29,2020-01-31,AF,Afghanistan,EMRO,0,0,0,0
29,30,2020-02-01,AF,Afghanistan,EMRO,0,0,0,0
30,31,2020-02-02,AF,Afghanistan,EMRO,0,0,0,0
31,32,2020-02-03,AF,Afghanistan,EMRO,0,0,0,0
32,33,2020-02-04,AF,Afghanistan,EMRO,0,0,0,0
33,34,2020-02-05,AF,Afghanistan,EMRO,0,0,0,0
34,35,2020-02-06,AF,Afghanistan,EMRO,0,0,0,0
35,36,2020-02-07,AF,Afghanistan,EMRO,0,0,0,0
36,37,2020-02-08,AF,Afghanistan,EMRO,0,0,0,0
37,38,2020-02-09,AF,Afghanistan,EMRO,0,0,0,0
38,39,2020-02-10,AF,Afghanistan,EMRO,0,0,0,0
39,40,2020-02-11,AF,Afghanistan,EMRO,0,0,0,0
40,41,2020-02-12,AF,Afghanistan,EMRO,0,0,0,0
41,42,2020-02-13,AF,Afghanistan,EMRO,0,0,0,0
42,43,2020-02-14,AF,Afghanistan,EMRO,0,0,0,0
43,44,2020-02-15,AF,Afghanistan,EMRO,0,0,0,0
44,45,2020-02-16,AF,Afghanistan,EMRO,0,0,0,0
45,46,2020-02-17,AF,Afghanistan,EMRO,0,0,0,0
46,47,2020-02-18,AF,Afghanistan,EMRO,0,0,0,0
