,id,datetime,provience,name,reference
0,1,2021-05-09T11:09:47,Fedral,PIMS – (POCT + PCR),https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
1,2,2021-05-09T11:09:47,Fedral,Islamabad Diagnostic Center (IDC),https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
2,3,2021-05-09T11:09:47,Fedral,Biotech Lab and Research Center,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
3,4,2021-05-09T11:09:47,Fedral,Metropole Laboratories,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
4,5,2021-05-09T11:09:47,Fedral,Capital Diagnostic Centre,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
5,6,2021-05-09T11:09:47,Fedral,Biogene,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
6,7,2021-05-09T11:09:47,Fedral,Shifa International,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
7,8,2021-05-09T11:09:47,Fedral,Excel Labs,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
8,9,2021-05-09T11:09:47,Fedral,Global Clinical Care Diagnostic Centre,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
9,10,2021-05-09T11:09:47,Fedral,Temar Diagnostics,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
10,11,2021-05-09T11:09:47,Fedral,Margalla Diagnostics and Clinics,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
11,12,2021-05-09T11:09:47,Fedral,Advanced Diagnostics Centre,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
12,13,2021-05-09T11:09:47,Fedral,Kulsum Intl Hospital,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
13,14,2021-05-09T11:09:47,Fedral,Maroof Hospital,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
14,15,2021-05-09T11:09:47,Fedral,Nayab Labs,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
15,16,2021-05-09T11:09:47,Fedral,Medikay Pvt limited,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
16,17,2021-05-09T11:09:47,Fedral,Akbar Niazi Teaching Hospital,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
17,18,2021-05-09T11:09:47,Fedral,"Real Time PCR Diagnostic, Research & Reference Laboratories",https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
18,19,2021-05-09T11:09:47,Fedral,Shaafi Hospital PWD,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
19,20,2021-05-09T11:09:47,Fedral,Crown Diagnostic Centre,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
20,21,2021-05-09T11:09:47,Fedral,Shaheen Medical Laboratories & Health Services,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
21,22,2021-05-09T11:09:47,Fedral,DAHA Lab and Diagnostic,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
22,23,2021-05-09T11:09:47,Fedral,Rehman Laboratories,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
23,24,2021-05-09T11:09:47,Fedral,Islamabad Health Care Laboratory,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
24,25,2021-05-09T11:09:47,Fedral,Biomaxx Lab and Diagnostic Centre,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
25,26,2021-05-09T11:09:47,Fedral,Ali Medical Centre,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
26,27,2021-05-09T11:09:47,Fedral,Ideal Labs & Diagnostic Center,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
27,28,2021-05-09T11:09:47,Fedral,European Diagnostic Center,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
28,29,2021-05-09T11:09:47,Fedral,BEKS Advanced Medical Services (Pvt) Ltd,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
29,30,2021-05-09T11:09:47,Fedral,MedAsk,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
30,31,2021-05-09T11:09:47,Fedral,IHITC Lab,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
31,32,2021-05-09T11:09:47,Punjab,Punjab Forensic Science Auth Lab,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
32,33,2021-05-09T11:09:47,Punjab,Jinnah Hospital,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
33,34,2021-05-09T11:09:47,Punjab,PKLI,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
34,35,2021-05-09T11:09:47,Punjab,Lahore General Hospital,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
35,36,2021-05-09T11:09:47,Punjab,CAMB,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
36,37,2021-05-09T11:09:47,Punjab,UVAS (BSL-3),https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
37,38,2021-05-09T11:09:47,Punjab,Lahore TB Program (BSL-3),https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
38,39,2021-05-09T11:09:47,Punjab,IPH Lahore,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
39,40,2021-05-09T11:09:47,Punjab,Chughtai Lab,https://covid.gov.pk/facilities/29%20April%202021%20Current%20Laboratory%20Testing%20Capacity%20for%20COVID%20Web.pdf
